chinese,english,math,society,science,PR,H_GPA,B,B_10,B_5,B_3,B_2
41.87,43.55,94.18,0.01,78.15,80,3.5,55.67,E,F,F,F
41.87,57.13,87.56,23.94,78.15,72,1.272,38,G,F,F,F
41.87,49.91,87.56,8.21,55.86,55,2.057,77.33,C,C,B,A
28.23,43.55,87.56,36.04,78.15,80,2.5,62.67,D,D,B,A
74.37,31.6,94.18,0.01,78.15,93,2.5,53.67,E,F,F,F
18.37,57.13,87.56,66.22,63.74,93,0.948,81,B,B,A,A
57.9,25.18,94.18,0.01,63.74,89,2.531,53.67,E,F,F,F
41.87,37.48,87.56,0.01,71.01,80,3.405,72,C,C,B,A
57.9,57.13,87.56,80.31,78.15,75,1.333,72,C,C,B,A
41.87,31.6,87.56,36.04,84.9,83,1.38,65.67,D,D,B,A
41.87,18.16,100,66.22,78.15,91,2.055,78.67,C,C,B,A
57.9,18.16,100,36.04,71.01,80,2.222,72.33,C,C,B,A
57.9,31.6,87.56,36.04,71.01,66,3.527,88,B,B,A,A
28.23,57.13,87.56,36.04,63.74,73,2.394,64.33,D,D,B,A
41.87,65.06,87.56,36.04,63.74,77,1.516,65,D,D,B,A
57.9,43.55,87.56,36.04,63.74,85,0.5,37,G,F,F,F
18.37,18.16,100,50.7,71.01,66,2.5,63.67,D,D,B,A
28.23,43.55,87.56,50.7,63.74,81,0.74,55.33,E,F,F,F
57.9,57.13,87.56,80.31,47.07,81,2.8,51.5,E,F,F,F
88.28,49.91,94.18,36.04,55.86,81,2.361,79.67,C,C,B,A
57.9,65.06,87.56,0.01,63.74,85,1,63,D,D,B,A
74.37,49.91,87.56,23.94,55.86,47,2.166,79.33,C,C,B,A
41.87,74.55,87.56,0.01,23.69,71,1.111,54.67,E,F,F,F
28.23,43.55,94.18,36.04,55.86,81,1.777,67,D,D,B,A
41.87,31.6,87.56,50.7,78.15,54,3.125,61,D,D,B,A
88.28,25.18,94.18,8.21,71.01,78,0.258,50.67,E,F,F,F
41.87,37.48,87.56,0.01,63.74,50,2.473,75,C,C,B,A
18.37,37.48,87.56,14.85,78.15,86,1,44.5,F,F,F,F
28.23,43.55,87.56,8.21,47.07,49,0.818,67,D,D,B,A
74.37,31.6,87.56,14.85,78.15,69,1.916,85.33,B,B,A,A
57.9,37.48,87.56,50.7,78.15,71,2.378,81.5,B,B,A,A
41.87,25.18,94.18,80.31,55.86,71,0.47,48,F,F,F,F
28.23,57.13,94.18,23.94,36.62,75,1.558,46,F,F,F,F
74.37,57.13,87.56,14.85,55.86,75,1.371,92,A,A,A,A
57.9,57.13,87.56,50.7,71.01,69,3.289,57.67,E,F,F,F
41.87,43.55,87.56,66.22,55.86,60,0.827,77,C,C,B,A
74.37,37.48,87.56,0.01,63.74,62,1.655,92.5,A,A,A,A
11.77,37.48,94.18,14.85,55.86,64,3.027,62,D,D,B,A
18.37,43.55,87.56,0.01,78.15,57,2.75,63,D,D,B,A
74.37,31.6,100,80.31,78.15,81,3,72.67,C,C,B,A
57.9,25.18,94.18,50.7,71.01,75,2.638,70,D,C,B,A
57.9,49.91,87.56,0.01,63.74,73,3.294,75.33,C,C,B,A
41.87,43.55,87.56,66.22,63.74,62,2.351,67.33,D,D,B,A
41.87,57.13,87.56,0.01,63.74,65,1.264,68.67,D,D,B,A
41.87,31.6,87.56,50.7,84.9,54,3.722,44.33,F,F,F,F
57.9,49.91,87.56,0.01,63.74,55,0.944,88.33,B,B,A,A
2.32,1.57,26.86,8.21,0.01,79,0.727,59.33,E,F,F,F
28.23,31.6,73.1,14.85,36.62,36,3.512,94,A,A,A,A
